,Origin City,Origin State,Destination City,Destination State,Route Class,Priority,Distance,Cost
203,LONGVIEW,TX,PICO-RIVERA,CA,Red,1,1922,4394.12
204,LONGVIEW,TX,SAUGET,IL,Blue,1,800,2404.13
205,LONGVIEW,TX,DUART,NC,Green,1,1265,4894.37
206,LONGVIEW,TX,COTTAGE GROVE,WI,Green,1,1201,3298.76
207,LONGVIEW,TX,NEVILLE ISLAND,PA,Blue,1,1235,3771.32
208,LONGVIEW,TX,DES MOINES,IA,Red,1,876,3928.84
209,LONGVIEW,TX,MENASHA,WI,Green,1,1058,3046.49
210,LONGVIEW,TX,ELDON,TX,Blue,1,336,1608.07
211,LONGVIEW,TX,WASHINGTON,WV,Green,1,1196,6171.22
212,LONGVIEW,TX,HURON,OH,Green,1,1061,4207.4
213,LONGVIEW,TX,MELENDY,TX,Red,1,212,1823.61
214,LONGVIEW,TX,DEER PARK,TX,Blue,1,250,1387.33
215,LONGVIEW,TX,EAGLE PASS,TX,Blue,1,514,1779.47
216,LONGVIEW,TX,SEIPLE,PA,Green,1,1592,5195.46
217,LONGVIEW,TX,HOPEWELL,VA,Blue,1,1264,3907.6
218,LONGVIEW,TX,EAGLE PASS,TX,Blue,1,514,1771.45
219,LONGVIEW,TX,DORAVILLE,GA,Green,1,903,2885.93
220,LONGVIEW,TX,FARMERS,CO,Blue,1,1500,3828.47
221,LONGVIEW,TX,WORTON,MD,Green,1,1640,5593.37
222,LONGVIEW,TX,TALLA BENA,LA,Green,1,166,2566.58
223,LONGVIEW,TX,DURHAM,NC,Green,1,1185,4158.62
224,LONGVIEW,TX,TOLEDO,OH,Blue,1,1025,3313.99
225,LONGVIEW,TX,INDIANAPOLIS,IN,Blue,1,884,2749.4
226,LONGVIEW,TX,COLUMBUS,GA,Green,1,794,3121.84
227,LONGVIEW,TX,BELLE CHASSE,LA,Red,1,385,1876.14
228,LONGVIEW,TX,CLINTON,MO,Blue,1,642,2662.37
229,LONGVIEW,TX,EAGLE PASS,TX,Blue,1,514,2054.48
230,LONGVIEW,TX,BROWNSVILLE,TN,Green,1,443,3143.91
231,LONGVIEW,TX,BRIDGEPORT,NJ,Blue,1,1648,4053.43
232,LONGVIEW,TX,DOWNSVIEW,ON,Blue,1,1365,4404.52
233,LONGVIEW,TX,ST JOSEPH,MO,Blue,1,645,2288.01
234,LONGVIEW,TX,EAST BILLINGS,MT,Blue,1,1976,5853.2
235,LONGVIEW,TX,BAKERSFIELD,CA,Blue,1,1982,4072.4
236,LONGVIEW,TX,PINEVILLE,NC,Green,1,1083,5207.65
237,LONGVIEW,TX,SUCCASUNNA,NJ,Green,1,1610,5802.56
238,LONGVIEW,TX,BUTLER,WI,Red,1,1001,4382.88
239,LONGVIEW,TX,GALLIPOLIS,WV,Green,1,1117,5019.14
240,LONGVIEW,TX,ODESSA,TX,Red,1,240,2721.4
241,LONGVIEW,TX,BROWNSVILLE,TX,Blue,1,580,1788.34
